 Date: 30/06/2021                                                            - ANALYSE CA CLIENT par ARTICLE -                                                            Page   1
 Societe :ALINE TAHITI S.A.             

REPRES ;Code ;Nom du client ;Categ. client ;DEPART ;REFERENCE ;DESIGNATION ;REGROUP ;QTE ;C.A. NET ;Remise ;MARGE ;% MRG ;

41;0015;ACE TARAVAO                   ;M;06;10052155;VIG 500ML SPRAY SALLE DE BAIN ;0637;        3.00;       1152;          0;        427;   37.07;
41;0015;ACE TARAVAO                   ;M;06;10530105;RAID FOURMIS/CAFARD 400ML     ;0636;       12.00;       5820;          0;       2483;   42.66;
41;0015;ACE TARAVAO                   ;M;06;10530240;RAID POUDRE 250GRS            ;0636;       24.00;      14880;          0;       6842;   45.98;
41;0015;ACE TARAVAO                   ;M;06;11010180;SP.CARRE EPONGE X5 ANTIBACT   ;0649;       15.00;       5460;          0;       2680;   49.08;
41;0015;ACE TARAVAO                   ;M;06;17510610;SANYTOL DESINFECT.LINGE 500ML ;0696;        3.00;       2274;          0;       1379;   60.64;
41;0015;ACE TARAVAO                   ;M;06;17510645;SANYTOL SPRAY DESINF 4ACT 500 ;0696;        6.00;       2730;          0;       1101;   40.33;
41;0015;ACE TARAVAO                   ;M;06;;TOTAL DEPARTEMENT;;;      32316;          0;      14912;   46.14;
41;0015;ACE TARAVAO                   ;M;07;15040408;EDA POUBELLE NOIR+COUV.50L    ;0700;        5.00;      13750;          0;       5149;   37.45;
41;0015;ACE TARAVAO                   ;M;07;15040410;EDA POUBELLE NOIR+COUV.80L    ;0700;        4.00;      12600;          0;       4412;   35.02;
41;0015;ACE TARAVAO                   ;M;07;15040440;EDA SEAU 10L VERT             ;0700;        2.00;       1040;          0;        428;   41.15;
41;0015;ACE TARAVAO                   ;M;07;15040442;EDA SEAU 13L VERT             ;0700;        5.00;       3250;          0;       1208;   37.17;
41;0015;ACE TARAVAO                   ;M;07;15040514;EDA BAQUET ROND 30L VERT      ;0700;        5.00;       6050;          0;       2665;   44.05;
41;0015;ACE TARAVAO                   ;M;07;15040524;EDA BAQUET OVALE 50L VERT     ;0700;        5.00;       8550;          0;       3291;   38.49;
41;0015;ACE TARAVAO                   ;M;07;15040526;EDA BAQUET OVALE 70L VERT     ;0700;        5.00;      16000;          0;       6234;   38.96;
41;0015;ACE TARAVAO                   ;M;07;15040571;EDA ARROSOIR 14L VERT         ;0700;        5.00;      10200;          0;       3636;   35.65;
41;0015;ACE TARAVAO                   ;M;07;15040572;EDA ARROSOIR 11L VERT NVEAU   ;0700;        5.00;       5950;          0;       2554;   42.92;
41;0015;ACE TARAVAO                   ;M;07;60100100;BLU PATE VAISSELLE 450GRS     ;0700;       24.00;       3480;          0;       1884;   54.14;
41;0015;ACE TARAVAO                   ;M;07;61105116;RLX SAC POUBELLE 100L         ;0700;       24.00;       6000;          0;       3019;   50.32;
41;0015;ACE TARAVAO                   ;M;07;61105118;RLX SAC POUBELLE JARDIN 130L  ;0700;       18.00;       7110;          0;       2743;   38.58;
41;0015;ACE TARAVAO                   ;M;07;;TOTAL DEPARTEMENT;;;      93980;          0;      37223;   39.61;

;         ;TOTAL Client: ACE TARAVAO                   ;;     ;;;;;     126296;          0;      52135;   41.28;

18;0040;AFO & FILS SARL MAHINA        ;A;01;13710010;FIXIES SINGLE 5 JUNIOR 18'    ;0105;        9.00;       4950;        675;        497;   10.04;
18;0040;AFO & FILS SARL MAHINA        ;A;01;13710038;FIXIES JUMBO 5 JUNIOR 40'     ;0105;        9.00;      12060;          0;       2481;   20.57;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21009005;DOP SHP AUX OEUFS 400ML       ;0144;       60.00;      12600;       2280;       1789;   14.20;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21009048;DOP SHP POMME 400ML           ;0144;       24.00;       5952;          0;       1744;   29.30;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21009050;DOP SHP 2EN1 SOIE 400ML       ;0144;        0.00;          0;          0;          0;    0.00;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21009090;ELSEVE SHP COLOR VIVE 290ML   ;0101;       48.00;      17280;       4560;       4975;   28.79;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21009123;ELSEVE SHP FULL RESIST 250ML  ;0101;       24.00;       8640;       2280;       3110;   36.00;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21009127;ELSEVE SHP TOT REPAIR 5 290ML ;0100;       24.00;       8640;       2280;       2440;   28.24;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21009130;ELSEVE SHP ANTI-CASSE 290ML   ;0100;       24.00;       8640;       2280;       2447;   28.32;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21010083;ELSEVE AP/SHP COLOR VIVE 240ML;0101;       24.00;       8640;       2280;       4013;   46.45;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21010085;ELSEVE AP/SHP LISS INTENS 240M;0100;       24.00;       8640;       2280;       4013;   46.45;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21010086;ELSEVE AP/SHP TOT REPAIR 290ML;0100;       24.00;       8640;       2280;       4044;   46.81;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21014300;NARTA DEO ROL F 0 MAGNES.50ML ;0150;       12.00;       4608;          0;       2423;   52.58;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21014302;NARTA DEO ROL F POUDREE 50ML  ;0150;       24.00;       4608;       4608;        -28;   -0.61;
